363,1,75.00
365,16,1395.00
379,9,630.00
388,2,150.00
397,8,240.00
404,45,3400.00
410,1,75.00
452,16,1410.00
456,1,75.00
474,2,60.00
534,54,3240.00
622,10,600.00
641,16,1200.00
781,38,2820.00
868,2,180.00
888,9,720.00
895,4,300.00
929,23,1780.00
975,1,75.00
1596,1,75.00
1635,2,150.00
1732,21,1095.00
1755,2,105.00
1781,2,150.00
1809,2,150.00
1819,3,225.00
1874,4,430.00
1932,1,75.00
2016,2,120.00
2045,21,630.00
2092,2,120.00
2137,31,2325.00
2234,2,150.00
2273,1,30.00
2302,2,150.00
2384,1,75.00
2404,43,2550.00
2614,6,525.00
2701,14,1005.00
2743,1,75.00
3285,3,165.00
3496,1,75.00
3659,1,90.00
3704,1,75.00
4046,26,1695.00
4187,2,150.00
4208,2,150.00
4252,10,555.00
4305,3,90.00
4363,19,1425.00
4418,40,2910.00
4468,19,315.00
4488,3,225.00
4840,2,150.00
4895,1,75.00
4908,2,130.00
5089,11,330.00
5300,5,495.00
5567,18,1470.00
5628,2,180.00
5867,3,180.00
5969,1,75.00
5984,25,1425.00
6842,15,450.00
6926,4,360.00
6961,5,375.00
7025,2,150.00
7139,2,150.00
7183,1,75.00
7379,5,450.00
7401,2,120.00
7472,1,75.00
7504,37,2775.00
9781,1,75.00
9891,17,600.00
9939,32,2880.00
10708,16,1350.00
10748,39,2925.00
10803,39,2985.00
11011,2,105.00
11093,4,285.00
11207,3,240.00
11260,2,150.00
11278,1,75.00
11318,1,90.00
11925,3,180.00
12462,4,240.00
13581,71,2130.00
15420,8,500.00
15566,1,75.00
15736,54,3960.00
16035,13,975.00
16038,1,75.00
16062,10,1050.00
16156,7,195.00
16234,3,225.00
16299,30,900.00
17236,38,2760.00
17448,8,600.00
17653,8,480.00
17657,3,260.00
17747,1,95.00
17874,15,510.00
17946,3,270.00
20346,40,3000.00
21032,1,75.00
21228,17,1275.00
21320,2,150.00
21620,2,210.00
21848,7,210.00
22153,25,1605.00
22160,7,405.00
