363,1,30.00
365,16,480.00
379,9,270.00
388,2,60.00
397,8,240.00
404,45,1350.00
410,1,30.00
452,16,690.00
456,1,30.00
474,2,60.00
534,54,810.00
622,10,150.00
641,16,480.00
781,38,1140.00
868,2,60.00
888,9,270.00
895,4,120.00
929,23,690.00
975,1,30.00
1596,1,30.00
1635,2,60.00
1732,21,870.00
1755,2,30.00
1781,2,60.00
1809,2,60.00
1819,3,90.00
1874,4,180.00
1932,1,30.00
2016,2,60.00
2045,21,630.00
2092,2,30.00
2137,31,930.00
2234,2,60.00
2273,1,30.00
2302,2,60.00
2384,1,30.00
2404,43,1320.00
2614,6,255.00
2701,14,420.00
2743,1,30.00
3285,3,90.00
3496,1,30.00
3659,1,15.00
3704,1,30.00
4046,25,750.00
4187,2,60.00
4208,2,60.00
4252,10,300.00
4305,3,90.00
4363,19,570.00
4418,40,1200.00
4468,19,600.00
4488,3,90.00
4840,2,30.00
4895,1,15.00
4908,2,90.00
5089,11,330.00
5300,5,150.00
5567,18,660.00
5628,2,60.00
5867,3,90.00
5969,1,15.00
5984,5,150.00
6842,15,450.00
6926,4,120.00
6961,5,195.00
7025,2,60.00
7139,2,60.00
7183,1,15.00
7379,5,150.00
7401,2,30.00
7472,1,30.00
7504,37,1110.00
9781,1,30.00
9891,2,60.00
9939,32,480.00
10708,16,480.00
10748,39,1170.00
10803,39,1230.00
11011,2,60.00
11093,4,150.00
11207,3,105.00
11260,2,60.00
11278,1,30.00
11318,1,15.00
11925,3,90.00
12462,4,165.00
13581,70,2100.00
15420,8,375.00
15566,1,30.00
15736,54,1620.00
16035,13,390.00
16038,1,30.00
16062,10,300.00
16156,7,180.00
16234,3,90.00
16299,30,900.00
17236,38,1140.00
17448,8,240.00
17653,8,240.00
17657,3,90.00
17747,1,30.00
17874,15,450.00
17946,3,135.00
20346,40,1200.00
21032,1,30.00
21228,17,510.00
21320,2,60.00
21620,2,60.00
22153,19,570.00
22160,7,330.00
22242,1,30.00
22265,17,510.00
22905,1,30.00
22985,1,30.00
23072,15,450.00
24578,22,660.00
24712,10,390.00
24776,27,1410.00
25015,12,360.00
25259,2,60.00
25275,12,510.00
25312,1,15.00
26312,2,60.00
26370,5,120.00
26732,1,30.00
27454,1,15.00
27545,1,30.00
27555,2,60.00
29810,24,885.00
29983,4,120.00
30131,3,90.00
30334,3,90.00
31792,20,675.00
31861,24,720.00
31895,5,150.00
32019,6,180.00
32097,4,225.00
32956,34,585.00
33006,2,60.00
33319,44,660.00
33376,11,435.00
34301,6,300.00
34328,4,120.00
34571,21,630.00
34577,9,270.00
34654,24,720.00
34776,3,120.00
34980,1,30.00
35108,2,30.00
35153,2,30.00
35184,4,180.00
35196,1,30.00
35662,1,30.00
35810,6,180.00
36335,1,30.00
36446,1,30.00
36463,3,105.00
36544,1,30.00
36579,5,150.00
36608,2,30.00
36629,18,540.00
36644,7,105.00
36725,2,60.00
36831,2,30.00
36897,17,1005.00
37093,33,990.00
37325,2,75.00
37345,10,300.00
37370,1,30.00
37499,3,90.00
37544,8,120.00
37642,13,390.00
37680,12,660.00
37709,19,570.00
37777,1,15.00
37804,17,255.00
38404,2,90.00
38455,17,510.00
38494,22,660.00
38550,24,480.00
39080,39,630.00
43378,6,135.00
43504,4,60.00
43644,39,1170.00
43650,3,90.00
43657,5,150.00
43663,1,15.00
43727,44,1965.00
43729,28,840.00
45580,14,420.00
45873,1,30.00
47034,2,30.00
47754,41,915.00
47927,23,690.00
48325,26,780.00
48340,1,30.00
48822,27,405.00
49563,3,90.00
50493,48,1440.00
54482,9,135.00
54954,2,30.00
55161,9,360.00
56603,1,30.00
56631,2,30.00
56954,23,690.00
