项目id,项目名称,地址,城市,8月项目下智能屏理论点位数,日期,排片点位数,刊挂总时常
363,晶晶大厦,刀茅巷216号,杭州,1,2019/1/14,1,15
379,秋涛综合楼,庆春东路35号,杭州,9,2019/1/14,9,195
388,仁和大厦,惠兴路12号,杭州,2,2019/1/14,2,30
397,瑞丰国际商务大厦,中河中路258号,杭州,8,2019/1/14,8,120
404,国都商务大厦,凤起路361号,杭州,45,2019/1/14,41,615
410,标力大厦,延安路528号,杭州,1,2019/1/14,1,15
452,华鸿大厦,天目山路238号,杭州,17,2019/1/14,14,240
456,万安商社,建国中路27号,杭州,1,2019/1/14,1,15
474,杭州孔雀大酒店,小河路697号,杭州,2,2019/1/14,2,30
781,茂泰世纪,中河北路83号,杭州,38,2019/1/14,33,495
888,西湖时代广场,庆春路225号,杭州,9,2019/1/14,3,45
929,同方财富大厦,凤起路334号,杭州,24,2019/1/14,20,300
975,西湖大厦,文二路202号,杭州,1,2019/1/14,1,15
1596,运务大楼,体育场路379号,杭州,1,2019/1/14,1,15
1635,浙江供销大楼,庆春路228号,杭州,2,2019/1/14,2,30
1732,南肖埠御景苑,太平门直街216号,杭州,21,2019/1/14,21,945
1755,浙江利华假日酒店,登云路38号,杭州,2,2019/1/14,2,30
1781,长堤明苑,庆春路9号,杭州,2,2019/1/14,2,30
1809,浙江五矿大厦,中山北路310号,杭州,2,2019/1/14,2,30
1819,耀江发展中心,环城北路305号,杭州,3,2019/1/14,3,45
1932,和平大厦,绍兴路168号,杭州,1,2019/1/14,1,15
2045,采荷嘉业大厦,新塘路19号,杭州,21,2019/1/14,21,315
2137,嘉德广场,庆春路118号,杭州,31,2019/1/14,31,465
2273,国贸大厦,中河路168号,杭州,1,2019/1/14,1,15
2384,嘉汇大厦,朝晖路181号,杭州,27,2019/1/14,1,15
2404,浙江物产国际广场,凯旋路445号,杭州,43,2019/1/14,43,705
2614,建工大厦（杭州）,文三路20号,杭州,6,2019/1/14,5,75
2701,伊世纪城市花园,星光路803号,杭州,14,2019/1/14,14,210
2743,联锦大厦,朝晖路175号,杭州,1,2019/1/14,1,15
3285,双牛大厦,建国北路281号,杭州,3,2019/1/14,1,15
3496,二轻大厦,延安路398号,杭州,1,2019/1/14,1,15
3659,华荣时代大厦,江南大道3880号,杭州,1,2019/1/14,1,15
3704,新延安饭店,直戒坛寺巷20号,杭州,1,2019/1/14,1,15
4046,改革月报大楼,司马渡巷60号,杭州,26,2019/1/14,25,375
4187,华源发展大厦,建国北路639号,杭州,3,2019/1/14,2,30
4305,交运大厦,秋涛北路176号,杭州,3,2019/1/14,3,135
4418,平海国际大厦,中河中路222号,杭州,40,2019/1/14,40,600
4468,庆春发展大厦,庆春东路66号,杭州,20,2019/1/14,19,315
4488,马可波罗假日酒店,平海路38号,杭州,3,2019/1/14,3,45
4840,南北商务港,温州路71号,杭州,2,2019/1/14,2,30
4895,南都房地产大厦,市心南路175号,杭州,1,2019/1/14,1,15
4908,广茵大厦,凤起东路42号,杭州,2,2019/1/14,2,105
5089,深蓝广场,朝晖路205号,杭州,11,2019/1/14,11,165
5300,裕达大厦,体育场路10号,杭州,5,2019/1/14,1,15
5567,西湖国贸中心,庆春路235号,杭州,20,2019/1/14,10,150
5628,萧宏大厦,滨盛路1777号,杭州,2,2019/1/14,2,30
5969,锦绣大厦（杭州）,湖墅南路356号,杭州,1,2019/1/14,1,15
6842,中财发展大厦,中河中路285,杭州,15,2019/1/14,15,225
6961,银江科技产业园, 益乐路223号,杭州,5,2019/1/14,5,75
7025,中河大厦,庆春路159号,杭州,2,2019/1/14,2,30
7139,LOFT商务楼,文晖路22号,杭州,2,2019/1/14,2,30
7183,百瑞广场商务楼,市心北路199号,杭州,1,2019/1/14,1,15
7379,滨海威陵大厦,江南大道481号,杭州,5,2019/1/14,5,75
7401,中山花园,朝晖路221号,杭州,2,2019/1/14,2,30
7472,置业大厦(杭州),文晖路46号,杭州,16,2019/1/14,1,15
9781,晶晖商务大厦,中山北路631号,杭州,1,2019/1/14,1,15
9939,开元加州阳光（杭州）,金城路333号,杭州,64,2019/1/14,32,480
10803,伟星世纪大厦,解放路85号,杭州,39,2019/1/14,35,525
11093,西城新座,古墩路100号,杭州,4,2019/1/14,2,30
11207,现代国际大厦,天目山路159号,杭州,4,2019/1/14,1,15
11260,星河商务大厦,解放路89号,杭州,2,2019/1/14,2,30
11278,金融大厦_杭州,庆春路182号,杭州,1,2019/1/14,1,15
11318,中恒世纪科技园,南环路4028号,杭州,1,2019/1/14,1,15
12462,庆晖公寓,朝晖七区路1号,杭州,4,2019/1/14,3,45
15420,天成嘉苑,天城路251号,杭州,8,2019/1/14,8,360
15566,金龙商务楼,庆春路38号,杭州,1,2019/1/14,1,15
16035,金峰大厦,中河路281号,杭州,13,2019/1/14,13,195
16038,华都大厦(杭州),庆春路137号,杭州,1,2019/1/14,1,15
16156,丽阳国际商务中心,湖墅南路186号,杭州,7,2019/1/14,7,165
16234,杭州凤起时代大厦,新塘路99号,杭州,3,2019/1/14,3,45
16299,三新大厦,新塘路33号,杭州,30,2019/1/14,30,570
17236,广利大厦,庆春路136号,杭州,38,2019/1/14,38,570
17448,利兹城市公寓,建国北路611号,杭州,8,2019/1/14,8,120
17653,神州白云大厦,天成路176号,杭州,8,2019/1/14,8,120
17657,铭成商务楼,新华路39号,杭州,3,2019/1/14,1,15
17874,墨香苑,莫干山路725号,杭州,15,2019/1/14,14,210
17946,宁波大厦,天目山路46号,杭州,3,2019/1/14,3,45
20346,杭州大名空间,龙舌路46号,杭州,40,2019/1/14,40,600
21032,杭州商业大厦,庆春路149号,杭州,1,2019/1/14,1,15
21320,现代之窗大厦,潮王路2号,杭州,2,2019/1/14,2,30
22153,中豪凤起广场,凤起东路137号,杭州,25,2019/1/14,19,285
22160,计量大厦,万塘路252号,杭州,7,2019/1/14,4,120
22242,华立金顶苑商务楼,莫干山路499号,杭州,1,2019/1/14,1,15
22265,众安大楼,长庆街31号,杭州,17,2019/1/14,15,225
22905,现代城建大厦（杭州）,中山北路607号,杭州,16,2019/1/14,1,15
23072,元通大厦,延安路511号,杭州,15,2019/1/14,11,165
24712,南肖埠庆和苑,太平门直街88号,杭州,10,2019/1/14,10,360
24776,滨江南肖埠文景苑,凤起东路53号,杭州,27,2019/1/14,27,1215
25015,杭州华门商务中心,教工路123号,杭州,12,2019/1/14,12,180
25275,国际花园写字楼,天目山路160号,杭州,13,2019/1/14,9,150
25312,瑞祺大厦,莫干山路425号,杭州,1,2019/1/14,1,15
26312,凯旋门商业中心,庆春路11号,杭州,2,2019/1/14,2,30
26370,杭州花港海航度假酒店,杨公堤1号,杭州,5,2019/1/14,3,45
26732,农发大厦,武林路437号,杭州,1,2019/1/14,1,15
27454,杭州海外海通信大厦,上塘路386号,杭州,1,2019/1/14,1,15
27555,东方豪生大酒店,艮山西路288号,杭州,2,2019/1/14,2,30
29810,百脑汇科技大厦（杭州）,教工路23号,杭州,28,2019/1/14,6,165
29983,诚信大厦,建国北路236号,杭州,4,2019/1/14,3,45
30334,东门大厦,艮山西路78号,杭州,3,2019/1/14,3,105
31792,新城市广场,秋涛北路83号,杭州,20,2019/1/14,20,570
32097,浙商大博士楼,学院路212号,杭州,4,2019/1/14,4,150
32956,红石中央大厦,潮王路225号,杭州,34,2019/1/14,34,585
33006,湖畔大厦,文一西路172号,杭州,2,2019/1/14,2,30
33319,萧山国际商务中心,金城路458号,杭州,44,2019/1/14,44,660
33376,昌地火炬大厦,文三路259号,杭州,11,2019/1/14,7,105
34301,中兴大厦_杭州,江晖路1757号,杭州,6,2019/1/14,6,90
34328,国都发展大厦,朝晖路182号,杭州,10,2019/1/14,4,60
34571,阳光都市财富中心,环城北路63号,杭州,21,2019/1/14,15,225
34654,海华广场,建国北路658号,杭州,25,2019/1/14,24,360
34980,杭州日报大楼、杭州新闻大厦,体育场路218号,杭州,1,2019/1/14,1,15
35108,泰富写字楼,通惠中路17号,杭州,2,2019/1/14,2,30
35153,太古广场,金城路451号,杭州,2,2019/1/14,2,30
35184,东方威尼斯(杭州),文二路387号,杭州,4,2019/1/14,4,60
36335,华东医药大楼,中山北路439号,杭州,1,2019/1/14,1,15
36446,金衙庄大厦,解放路26号,杭州,1,2019/1/14,1,15
36463,龙禧创业中心,信诚路33号,杭州,3,2019/1/14,3,45
36579,圣都公寓,德胜路377号,杭州,5,2019/1/14,5,75
36608,世贸广场写字楼,市心中路819号,杭州,2,2019/1/14,2,30
36725,远洋大厦,庆春路25号,杭州,2,2019/1/14,2,30
36831,萧山天宝大厦,市心中路588号,杭州,2,2019/1/14,2,30
36897,耀江文欣苑,文二路195号,杭州,17,2019/1/14,17,735
37325,钱塘人家,清江路310号,杭州,2,2019/1/14,2,90
37370,铭扬大厦,解放路18号,杭州,1,2019/1/14,1,15
37499,新大集团,江晖路1888号,杭州,4,2019/1/14,3,45
37544,新世纪大厦(杭州）,密渡桥路15号,杭州,8,2019/1/14,8,120
37642,永通信息广场,环城北路141号,杭州,13,2019/1/14,7,105
37680,中融城市花园,天目山路224号,杭州,12,2019/1/14,10,300
37777,稻香园耀江高层,潮王路167号,杭州,1,2019/1/14,1,15
37804,元天科技大楼,江南大道3778号,杭州,17,2019/1/14,17,255
38404,良时期货大楼,河东路91号,杭州,2,2019/1/14,2,30
38455,星都嘉苑,建国北路705号,杭州,17,2019/1/14,6,90
38550,永泰丰广场,市心北路297号,杭州,24,2019/1/14,16,240
39080,银都大厦,德胜路385号,杭州,39,2019/1/14,38,570
43378,华龙商务大厦,莫干山路110号,杭州,6,2019/1/14,3,45
43504,天汇园(杭州),金城路409号,杭州,4,2019/1/14,4,60
43663,欧凯假日大酒店,昙花庵路５８号,杭州,1,2019/1/14,1,15
43727,元茂大厦,文二西路1号,杭州,44,2019/1/14,44,780
43729,凯喜雅大厦,体育场路105号,杭州,29,2019/1/14,13,195
45580,通宝大厦,环城北路10号,杭州,14,2019/1/14,12,180
45873,越都商务大厦,中山北路632号,杭州,7,2019/1/14,1,15
47034,万华国际大酒店,香积寺东路60号,杭州,2,2019/1/14,2,30
47754,金海香滨湾,杭海路878号,杭州,41,2019/1/14,20,300
47927,嘉联华铭座,建国北路586号,杭州,25,2019/1/14,23,345
48340,之俊大厦_杭州,凤起路96号,杭州,1,2019/1/14,1,15
48822,西港新界,振华路206号,杭州,27,2019/1/14,27,405
50493,元丰钛合国际,朝晖路168号,杭州,48,2019/1/14,48,720
54482,源越大厦,南环路3720号,杭州,25,2019/1/14,9,135
54954,白马大厦_杭州,密渡桥路8号,杭州,2,2019/1/14,2,30
55161,越界锦和大厦,庆春路87号,杭州,10,2019/1/14,1,15
56631,知稼苑,金城路408号,杭州,2,2019/1/14,2,30
56954,银泰百货庆春店,景昙路18号,杭州,23,2019/1/14,23,585
57462,西湖综合大楼,体育场路596号,杭州,2,2019/1/14,2,30
57470,汇通大厦(杭州),金惠路358号,杭州,4,2019/1/14,4,60
57705,杭州定和大酒店,艮山东路146号,杭州,1,2019/1/14,1,15
58371,西房大厦,学院路151号,杭州,6,2019/1/14,5,75
58458,龙禧BOSS港,南环路4281号,杭州,4,2019/1/14,4,60
59016,瑞都嘉里酒店,文辉路356号,杭州,1,2019/1/14,1,15
59858,南苑·发展大厦,世纪大道158号,杭州,2,2019/1/14,2,30
60226,江南九鼎大厦,滨新路599号,杭州,2,2019/1/14,2,30
61456,卓信大厦,南环路3280号,杭州,7,2019/1/14,7,105
62216,裕华大厦AB座,振华路196号,杭州,7,2019/1/14,2,30
62243,东联大厦_杭州,建国路336号,杭州,4,2019/1/14,4,60
62411,萧山商会大厦,金城路185号,杭州,63,2019/1/14,63,945
62484,爱丁堡假日酒店,秋涛路28号,杭州,2,2019/1/14,2,30
62486,汇智地,南环路4280号,杭州,2,2019/1/14,2,30
62565,今日嘉园,文一路188号,杭州,6,2019/1/14,6,90
63505,天堂软件园,西斗门路3号,杭州,8,2019/1/14,8,120
63716,美都广场,莫干山路789号,杭州,6,2019/1/14,6,90
63883,滨江万家花城二期,萍水街400号,杭州,57,2019/1/14,45,675
64127,滨江新城时代广场,凤起东路189号,杭州,24,2019/1/14,24,480
64797,丁桥新城广场,紫丁香街151号,杭州,12,2019/1/14,8,120
64957,科达投资大厦,信诚路555号,杭州,46,2019/1/14,45,675
65076,建华PARK电商园,上塘路958号,杭州,15,2019/1/14,12,180
65462,紫金广场,古墩路701号,杭州,6,2019/1/14,6,90
65644,宏程国际大厦,剧院路358号,杭州,6,2019/1/14,6,150
65646,宜家时代大厦,广丰街101号,杭州,13,2019/1/14,13,195
65683,天亿大厦,古墩路819号,杭州,3,2019/1/14,3,45
65960,新安铭苑,机场里街45号,杭州,14,2019/1/14,14,630
65980,水岸雅苑,尧典桥路122号,杭州,4,2019/1/14,4,180
66456,汽轮国际大厦,庆春东路68号,杭州,5,2019/1/14,4,90
66883,逸天广场,东信大道290号,杭州,3,2019/1/14,2,30
67111,裕都大楼,古墩路11号,杭州,3,2019/1/14,2,30
67127,五福天星龙大厦,凤起东路358号,杭州,46,2019/1/14,46,1380
67196,柏悦轩,滨盛路1870号,杭州,1,2019/1/14,1,15
67329,潮王公寓,潮王路6号,杭州,10,2019/1/14,6,90
67458,在水一方(杭州),富春路118号,杭州,4,2019/1/14,4,60
67855,印象城,古墩路588,杭州,2,2019/1/14,2,30
67934,西溪创意大厦,文二西路718号,杭州,1,2019/1/14,1,15
68311,置地大厦,金城路77号,杭州,37,2019/1/14,37,555
68696,滨江金色蓝庭,文一西路18号,杭州,12,2019/1/14,12,180
69409,大浒东苑,双绍路76号,杭州,33,2019/1/14,33,495
69636,三里家园,尧典桥路192号,杭州,29,2019/1/14,29,1305
69648,天成嘉苑北苑,天城路212号,杭州,14,2019/1/14,12,540
69770,金鹭银座,通惠中路688号,杭州,2,2019/1/14,2,30
69906,神州红树林花园,天城路233号,杭州,11,2019/1/14,11,495
70212,海越大厦,丹枫路788号,杭州,6,2019/1/14,6,90
70216,数娱大厦,文一西路98号,杭州,5,2019/1/14,1,15
70220,盛德欣苑,德胜巷82号,杭州,4,2019/1/14,4,60
70321,电子商务大厦,文三西路118号,杭州,5,2019/1/14,3,45
70629,盾安发展大厦,泰安路239号,杭州,2,2019/1/14,2,30
70719,名城大厦（杭州）,育才北路485号,杭州,3,2019/1/14,3,45
70728,华都兰庭写字楼,文二路138号,杭州,2,2019/1/14,2,30
71109,紫金港商务大厦,古墩路656号,杭州,1,2019/1/14,1,15
72687,菲斯泰尔酒店,朝晖路211号,杭州,1,2019/1/14,1,15
72721,文欣大厦杭州,文二路207号,杭州,3,2019/1/14,3,75
73300,和瑞科技广场,长河路475号,杭州,10,2019/1/14,10,150
73310,中茵大厦杭州,文三路453号,杭州,1,2019/1/14,1,15
73436,杭州新传媒产业大厦,新塘路58号,杭州,66,2019/1/14,66,1080
73438,新业大厦（杭州）,新塘路78号,杭州,35,2019/1/14,5,120
73656,大都文苑风情,下沙3号路3号,杭州,18,2019/1/14,18,270
73927,杭州电子商务产业园,翠栢路7号,杭州,5,2019/1/14,4,60
74680,和顺风尚蓝湾,西浦路1569号,杭州,8,2019/1/14,8,120
74697,尚筑金座,秋涛路296号,杭州,45,2019/1/14,41,615
75335,恒策西城时代中心,登云路518号,杭州,82,2019/1/14,70,1050
75705,美亚大厦,世纪大道1号,杭州,51,2019/1/14,46,690
75748,现代之星,绍兴路337号,杭州,6,2019/1/14,4,60
75783,尊宝大厦,市民街98号,杭州,133,2019/1/14,131,1965
75794,铭鑫大厦,三新路158号,杭州,49,2019/1/14,9,210
76159,杭州朗郡庭园,横桥路105号,杭州,63,2019/1/14,42,630
76176,八方杰座大厦,临平南大街263号,杭州,14,2019/1/14,11,195
76414,天际大厦,天目山路181号,杭州,6,2019/1/14,6,90
76845,浙江环球中心,西湖文化广场32号,杭州,3,2019/1/14,3,45
76956,紫荆大厦（杭州）,紫荆花路386号,杭州,3,2019/1/14,3,45
77156,乐富智汇园,祥园路28号,杭州,10,2019/1/14,10,150
78006,赞宇大厦,古墩路702号,杭州,6,2019/1/14,6,90
78554,东方红街,新风路318号,杭州,39,2019/1/14,38,570
78561,萧山宁安大厦,市心北路156号,杭州,26,2019/1/14,8,120
78793,西湖花苑,环城西路18号,杭州,3,2019/1/14,1,15
79007,中南国际大厦,江南大道1088号,杭州,5,2019/1/14,4,60
79025,南北西岸花园,昼锦街12号,杭州,34,2019/1/14,32,480
79161,复地北城中心,莫干山路1165号,杭州,2,2019/1/14,2,30
79202,文物大楼,东坡路66号,杭州,3,2019/1/14,2,30
79204,瑞鼎大厦,振华路200号,杭州,6,2019/1/14,6,90
79242,广源科技楼,东新路江南巷11号,杭州,2,2019/1/14,2,30
79883,水湘苑,昙花庵路98号,杭州,16,2019/1/14,16,480
79891,先锋科技大厦,伟业路298号,杭州,7,2019/1/14,7,105
80382,康恩贝大厦(杭州),江南大道288号,杭州,3,2019/1/14,3,45
80482,潮人汇大厦,江南大道3672号,杭州,1,2019/1/14,1,15
81661,钱龙大厦,江汉路1786号,杭州,2,2019/1/14,2,30
81888,元华旺座,新塘路56号,杭州,29,2019/1/14,29,435
81923,聚落五号创意产业园,艮山支路5号,杭州,4,2019/1/14,4,180
81964,瑞博国际科技大厦,古墩路673号,杭州,15,2019/1/14,8,120
82331,华成国际发展大厦,钱江新城5号,杭州,1,2019/1/14,1,15
82365,金龙大厦,秋水路279号,杭州,5,2019/1/14,5,75
82417,杭州威格科技园,祥茂路16号,杭州,2,2019/1/14,2,30
84247,泰嘉园,莫干山路972号,杭州,1,2019/1/14,1,15
86871,港务新大楼,石祥路356号,杭州,2,2019/1/14,2,30
87532,中豪湘座,水湘路339号,杭州,21,2019/1/14,20,390
87666,建华文化创意产业园,七古登路208号,杭州,14,2019/1/14,10,150
87973,星汇大厦,建国北路707号,杭州,5,2019/1/14,2,30
88043,浙江互联网产业大厦,运河东路1号,杭州,2,2019/1/14,2,30
88841,华领国际,文二路333号,杭州,4,2019/1/14,4,60
89047,中奥江锦国际,通江路251号,杭州,2,2019/1/14,2,30
89736,博科大厦,西园路9号,杭州,2,2019/1/14,2,30
89857,发展今日嘉园,文一路192号,杭州,1,2019/1/14,1,15
89873,北山大厦,西溪路152号,杭州,18,2019/1/14,2,30
89969,萧山国际创业中心,金城路1068号,杭州,3,2019/1/14,3,45
90104,瑞浩中心,花园岗街186号,杭州,5,2019/1/14,2,30
90106,信雅达,江虹路1750号,杭州,10,2019/1/14,10,150
90158,紫晶大酒店（杭州）,庆春东路78号,杭州,5,2019/1/14,5,75
90160,紫晶大厦（杭州）,庆春东路78号,杭州,2,2019/1/14,2,30
90188,中誉现代城,通惠中路838号,杭州,10,2019/1/14,9,135
90294,沁园雅舍商务楼,机场路163号,杭州,5,2019/1/14,5,165
90460,鹏和大楼,德胜东路8518号,杭州,4,2019/1/14,4,60
90472,云龙公寓_杭州,刀茅巷23号,杭州,18,2019/1/14,1,15
90511,浙江外经贸广场综合楼,延安路468号,杭州,3,2019/1/14,2,30
90577,同人广场,古墩路598号,杭州,9,2019/1/14,9,135
90609,雅戈尔大厦赫纳酒店,延安路508号,杭州,1,2019/1/14,1,15
90790,中赢国际,滨和路998号,杭州,4,2019/1/14,4,60
90796,同方国际,秋涛北路223号,杭州,52,2019/1/14,52,780
90798,万银国际,民心路100号,杭州,5,2019/1/14,5,75
90834,优盘时代,萍水西路82号,杭州,4,2019/1/14,4,60
91000,滨科大厦,西浦路1503号,杭州,1,2019/1/14,1,15
91157,新湖商务大厦,西溪路128号,杭州,4,2019/1/14,4,60
91159,瑞晶国际,五星路198号,杭州,2,2019/1/14,2,30
91163,天邑国际商务楼,杭行路143号,杭州,32,2019/1/14,3,45
91256,盛泰时代山,下沙4号大街197号,杭州,4,2019/1/14,4,60
91258,跨境电子商务产业园,长城路22号,杭州,3,2019/1/14,2,30
91330,腾虎科技大厦,南环路2952号,杭州,4,2019/1/14,1,15
91387,紫玉名府,凯旋路361号,杭州,9,2019/1/14,9,135
91740,智谷人力资源产业园,钱潮路369号,杭州,2,2019/1/14,2,30
91805,杭州明珠大厦,大关路188号,杭州,7,2019/1/14,6,90
91835,星光国际,江南大道228号,杭州,4,2019/1/14,4,60
92235,秋涛发展大厦,秋涛路238号,杭州,6,2019/1/14,6,90
92386,君尚金座,安业路229号,杭州,4,2019/1/14,4,60
92683,体育大厦(远扬大厦),莫干山路268号,杭州,6,2019/1/14,2,30
2000145,王道公园,滨安路1181号,杭州,12,2019/1/14,4,60
2000323,浙商财富中心,古墩路83号,杭州,30,2019/1/14,6,105
2000361,钱塘航空大厦,市民街66号,杭州,6,2019/1/14,6,90
2000383,北城天地,湖州街568号,杭州,61,2019/1/14,51,765
2000393,东和时代,江晖路1930号,杭州,4,2019/1/14,4,60
2000458,绿都嘉瑞华庭,金城路1578号,杭州,6,2019/1/14,6,90
2000576,领骏世界,潮王路10号,杭州,6,2019/1/14,6,90
2000602,智汇中心,滨安路1190号,杭州,10,2019/1/14,10,150
2000835,保俶路综合大楼,保俶路117号,杭州,1,2019/1/14,1,15
2000904,杭州东方大厦,航海路601号,杭州,4,2019/1/14,4,60
2000910,华盛达广场,滨兴路1451号  ,杭州,17,2019/1/14,17,255
2000988,金润科技园,春波路1517号,杭州,10,2019/1/14,4,60
2001017,新东方国际,江陵路567号,杭州,4,2019/1/14,4,60
2001052,阅城新座,杭行路50号,杭州,6,2019/1/14,6,90
2001110,海杰德大厦,市心北路828号,杭州,6,2019/1/14,6,90
2001121,中豪五福天地,凤起东路207号,杭州,57,2019/1/14,57,1035
2001145,财富金融中心,解放东路33号,杭州,197,2019/1/14,196,2940
2001159,积家大厦,浦沿路789号,杭州,2,2019/1/14,2,30
2001360,钱江国际时代广场,城星路111号,杭州,10,2019/1/14,10,150
2001375,城西银泰城,丰潭路380号,杭州,15,2019/1/14,15,225
2001429,铧广科技大厦,沈港路10号,杭州,3,2019/1/14,3,90
2001532,天堂e谷,新文路33号,杭州,14,2019/1/14,13,195
2001579,绿景国际,石祥路458号,杭州,6,2019/1/14,4,60
2001589,东方丽都,范家路徐家洋路交叉口,杭州,12,2019/1/14,12,540
2001645,新世界财富中心,市心北路108号,杭州,8,2019/1/14,8,120
2001660,美莱商务大厦,莫干山路333号,杭州,9,2019/1/14,9,135
2001919,民企发展大厦,富业巷3号,杭州,8,2019/1/14,6,90
2002137,金通国际大厦,花园岗街113号,杭州,9,2019/1/14,4,60
2002286,帝凯大厦,金城路471号,杭州,21,2019/1/14,7,105
2002310,城发天地,古运路15号,杭州,8,2019/1/14,4,60
2002438,野风现代中心,绍兴路161号,杭州,24,2019/1/14,4,60
2002475,江干区科技创业服务中心,天城路91号,杭州,2,2019/1/14,2,90
2002476,五洲国际广场,余杭塘路799号,杭州,52,2019/1/14,52,780
2002500,森禾商务广场,杭海路267号,杭州,10,2019/1/14,10,150
2002570,百得利大厦,江陵路1780号,杭州,4,2019/1/14,4,120
3007043,康恒大厦,文三西路111号,杭州,1,2019/1/14,1,15
3007076,蓝色霞湾,假山路99号,杭州,26,2019/1/14,26,570
3007113,西湖物资大楼,金祝北路21号,杭州,2,2019/1/14,2,30
3007148,浙江出版大厦,体育场路347号,杭州,2,2019/1/14,2,30
3007206,平安居,屏风街94号,杭州,8,2019/1/14,1,15
3007239,沁雅花园,文三西路111号,杭州,15,2019/1/14,15,225
3007245,东方金座_杭州,岳王路1号,杭州,2,2019/1/14,2,30
3007246,青春坊,长庆街35号,杭州,10,2019/1/14,6,90
3007261,华门世家,文三路383号,杭州,8,2019/1/14,8,240
3007283,环东公寓,环城东路271号,杭州,6,2019/1/14,4,60
3007320,三华天运花园,秋涛北路252号,杭州,38,2019/1/14,38,1710
3007324,嘉绿西苑,文二西路151号,杭州,8,2019/1/14,8,120
3007468,文欣商务楼,文二路173号,杭州,2,2019/1/14,2,30
3007470,文菁花苑,文一路272号,杭州,4,2019/1/14,4,60
3007606,温馨人家,月明路837号,杭州,60,2019/1/14,60,1680
3007717,月雅苑,2号大街877号,杭州,2,2019/1/14,2,30
3008918,三里家园一小区,尧典桥路192号,杭州,4,2019/1/14,4,180
3008928,广景苑,景昙路100号,杭州,10,2019/1/14,10,450
3009120,日森大厦,文一路9号,杭州,2,2019/1/14,1,15
3012183,水岸城市花园,环城东路25号,杭州,34,2019/1/14,28,420
3012218,紫园,凯旋路100号,杭州,14,2019/1/14,14,420
3013976,云溪香山南,梦湖路5号,杭州,15,2019/1/14,15,225
3015525,绿城育华公寓楼,文一西路532号,杭州,6,2019/1/14,6,90
3015815,新城国际_和园,庆和路8号,杭州,18,2019/1/14,18,540
3015817,新城国际_彩园,庆和路22号,杭州,14,2019/1/14,14,420
3016250,物美大厦,文一路298号,杭州,7,2019/1/14,4,60
3017487,云溪香山北区,美院南路240号,杭州,29,2019/1/14,29,435
3017607,人和,荆长路1号,杭州,18,2019/1/14,18,540
3018065,中兴花园,江汉路1688号,杭州,68,2019/1/14,56,840
3018084,邻里人家西苑,长虹路634号,杭州,30,2019/1/14,30,450
3018196,普福公寓,福临街46号,杭州,24,2019/1/14,12,180
3018265,明辉花园,兴园路75号,杭州,20,2019/1/14,10,150
3018452,九鼎·名仕顿,屏风街29号,杭州,1,2019/1/14,1,15
3020181,钱江四苑,顺福路150号,杭州,22,2019/1/14,22,660
3020183,浦沿公寓,新浦路102号,杭州,4,2019/1/14,1,15
3021109,江涛阁,东信大道1038号,杭州,12,2019/1/14,4,60
3021331,杭州杭派精品服装市场,杭海路68号,杭州,8,2019/1/14,8,360
3022603,湖畔宽邸,湖畔北街92号,杭州,52,2019/1/14,19,285
3023235,三里新城梅苑,工农路33号,杭州,6,2019/1/14,6,270
3023664,定海园,永庆路137,杭州,59,2019/1/14,1,15
3024032,江南文苑,滨文路639号,杭州,33,2019/1/14,33,495
3024375,九洲芳园,金堡街18号,杭州,30,2019/1/14,30,450
3025484,滨江长河商厦,长江路428,杭州,6,2019/1/14,3,45
3025698,三里新城兰苑,机场路一巷109号,杭州,17,2019/1/14,17,765
3027180,信义坊,信义商街203号,杭州,3,2019/1/14,3,45
3028793,天盛居,潮王支路77号,杭州,4,2019/1/14,3,45
3028871,凯景公寓,凯旋路339号,杭州,4,2019/1/14,4,180
3030148,杭州丁桥新经济产业园,同协路28号,杭州,1,2019/1/14,1,30
3030251,三堡东苑,运河东路82号,杭州,24,2019/1/14,24,720
3030252,云峰家园,艮山西路265号,杭州,27,2019/1/14,27,810
3030372,仁苑,滨盛路3191号,杭州,75,2019/1/14,27,405
3030733,圣奥领寓,金堡街83号,杭州,28,2019/1/14,28,420
3030866,东城丽景,城隍中路165号,杭州,16,2019/1/14,8,120
3030886,半岛花园（杭州）,晨晖路555号,杭州,24,2019/1/14,24,360
3030950,加州阳光写字楼,金城路333号,杭州,51,2019/1/14,45,675
3031333,冠宇隽园,丁群街428号,杭州,34,2019/1/14,34,510
3031409,高知住宅楼,老浙大直路25号 ,杭州,3,2019/1/14,3,45
3031417,隆和国际大厦,江晖路1961号,杭州,2,2019/1/14,2,30
3031439,风情苑_杭州,西兴路760号,杭州,26,2019/1/14,26,390
3031492,东东城,下沙十号大街1号,杭州,12,2019/1/14,7,105
3031609,沈塘铭苑(杭州),叶青兜路72号,杭州,15,2019/1/14,5,75
3031829,江南摩卡小区,水田畈路83号,杭州,31,2019/1/14,31,465
3032002,君合商务楼,金堡街232号,杭州,4,2019/1/14,3,45
3032003,亿龙商务楼,杭乔路231号,杭州,4,2019/1/14,3,45
3032515,万科草庄,机场路355号,杭州,22,2019/1/14,22,330
3033004,田园牧歌风禾苑,建工路26号,杭州,9,2019/1/14,9,135
3033170,云溪印象,望江山路50号,杭州,10,2019/1/14,10,150
3033586,三塘人家,绍兴路509号,杭州,52,2019/1/14,52,1125
