37777,2019-01-14 00:00:00,1,15.00
37804,2019-01-14 00:00:00,17,255.00
38404,2019-01-14 00:00:00,2,30.00
38455,2019-01-14 00:00:00,6,90.00
38550,2019-01-14 00:00:00,16,240.00
39080,2019-01-14 00:00:00,38,570.00
43378,2019-01-14 00:00:00,3,45.00
43504,2019-01-14 00:00:00,4,60.00
43663,2019-01-14 00:00:00,1,15.00
43727,2019-01-14 00:00:00,44,780.00
43729,2019-01-14 00:00:00,13,195.00
45580,2019-01-14 00:00:00,12,180.00
45873,2019-01-14 00:00:00,1,15.00
47034,2019-01-14 00:00:00,2,30.00
47754,2019-01-14 00:00:00,20,300.00
47927,2019-01-14 00:00:00,23,345.00
48340,2019-01-14 00:00:00,1,15.00
48822,2019-01-14 00:00:00,27,405.00
50493,2019-01-14 00:00:00,48,720.00
54482,2019-01-14 00:00:00,9,135.00
54954,2019-01-14 00:00:00,2,30.00
55161,2019-01-14 00:00:00,1,15.00
56631,2019-01-14 00:00:00,2,30.00
56954,2019-01-14 00:00:00,23,585.00
57462,2019-01-14 00:00:00,2,30.00
57470,2019-01-14 00:00:00,4,60.00
57705,2019-01-14 00:00:00,1,15.00
58371,2019-01-14 00:00:00,5,75.00
58458,2019-01-14 00:00:00,4,60.00
59016,2019-01-14 00:00:00,1,15.00
59858,2019-01-14 00:00:00,2,30.00
60226,2019-01-14 00:00:00,2,30.00
61456,2019-01-14 00:00:00,7,105.00
62216,2019-01-14 00:00:00,2,30.00
62243,2019-01-14 00:00:00,4,60.00
62411,2019-01-14 00:00:00,63,945.00
62484,2019-01-14 00:00:00,2,30.00
62486,2019-01-14 00:00:00,2,30.00
62565,2019-01-14 00:00:00,6,90.00
63505,2019-01-14 00:00:00,8,120.00
63716,2019-01-14 00:00:00,6,90.00
63883,2019-01-14 00:00:00,45,675.00
64127,2019-01-14 00:00:00,24,480.00
64797,2019-01-14 00:00:00,8,120.00
64957,2019-01-14 00:00:00,45,675.00
65076,2019-01-14 00:00:00,12,180.00
65462,2019-01-14 00:00:00,6,90.00
65644,2019-01-14 00:00:00,6,150.00
65646,2019-01-14 00:00:00,13,195.00
65683,2019-01-14 00:00:00,3,45.00
65960,2019-01-14 00:00:00,14,630.00
65980,2019-01-14 00:00:00,4,180.00
66456,2019-01-14 00:00:00,4,90.00
66883,2019-01-14 00:00:00,2,30.00
67111,2019-01-14 00:00:00,2,30.00
67127,2019-01-14 00:00:00,46,1380.00
67196,2019-01-14 00:00:00,1,15.00
67329,2019-01-14 00:00:00,6,90.00
67458,2019-01-14 00:00:00,4,60.00
67855,2019-01-14 00:00:00,2,30.00
67934,2019-01-14 00:00:00,1,15.00
68311,2019-01-14 00:00:00,37,555.00
68696,2019-01-14 00:00:00,12,180.00
69409,2019-01-14 00:00:00,33,495.00
69636,2019-01-14 00:00:00,29,1305.00
69648,2019-01-14 00:00:00,12,540.00
69770,2019-01-14 00:00:00,2,30.00
69906,2019-01-14 00:00:00,11,495.00
70212,2019-01-14 00:00:00,6,90.00
70216,2019-01-14 00:00:00,1,15.00
70220,2019-01-14 00:00:00,4,60.00
70321,2019-01-14 00:00:00,3,45.00
70629,2019-01-14 00:00:00,2,30.00
70719,2019-01-14 00:00:00,3,45.00
70728,2019-01-14 00:00:00,2,30.00
71109,2019-01-14 00:00:00,1,15.00
72687,2019-01-14 00:00:00,1,15.00
72721,2019-01-14 00:00:00,3,75.00
73300,2019-01-14 00:00:00,10,150.00
73310,2019-01-14 00:00:00,1,15.00
73436,2019-01-14 00:00:00,66,1080.00
73438,2019-01-14 00:00:00,5,120.00
73656,2019-01-14 00:00:00,18,270.00
73927,2019-01-14 00:00:00,4,60.00
74680,2019-01-14 00:00:00,8,120.00
74697,2019-01-14 00:00:00,41,615.00
75335,2019-01-14 00:00:00,70,1050.00
75705,2019-01-14 00:00:00,46,690.00
75748,2019-01-14 00:00:00,4,60.00
75783,2019-01-14 00:00:00,131,1965.00
75794,2019-01-14 00:00:00,9,210.00
76159,2019-01-14 00:00:00,42,630.00
76176,2019-01-14 00:00:00,11,195.00
76414,2019-01-14 00:00:00,6,90.00
76845,2019-01-14 00:00:00,3,45.00
76956,2019-01-14 00:00:00,3,45.00
77156,2019-01-14 00:00:00,10,150.00
78006,2019-01-14 00:00:00,6,90.00
78554,2019-01-14 00:00:00,38,570.00
78561,2019-01-14 00:00:00,8,120.00
78793,2019-01-14 00:00:00,1,15.00
79007,2019-01-14 00:00:00,4,60.00
79025,2019-01-14 00:00:00,32,480.00
79161,2019-01-14 00:00:00,2,30.00
79202,2019-01-14 00:00:00,2,30.00
79204,2019-01-14 00:00:00,6,90.00
79242,2019-01-14 00:00:00,2,30.00
79883,2019-01-14 00:00:00,16,480.00
79891,2019-01-14 00:00:00,7,105.00
80382,2019-01-14 00:00:00,3,45.00
80482,2019-01-14 00:00:00,1,15.00
81661,2019-01-14 00:00:00,2,30.00
81888,2019-01-14 00:00:00,29,435.00
81923,2019-01-14 00:00:00,4,180.00
81964,2019-01-14 00:00:00,8,120.00
82331,2019-01-14 00:00:00,1,15.00
82365,2019-01-14 00:00:00,5,75.00
82417,2019-01-14 00:00:00,2,30.00
84247,2019-01-14 00:00:00,1,15.00
86871,2019-01-14 00:00:00,2,30.00
87532,2019-01-14 00:00:00,20,390.00
87666,2019-01-14 00:00:00,10,150.00
87973,2019-01-14 00:00:00,2,30.00
88043,2019-01-14 00:00:00,2,30.00
88841,2019-01-14 00:00:00,4,60.00
89047,2019-01-14 00:00:00,2,30.00
89736,2019-01-14 00:00:00,2,30.00
89857,2019-01-14 00:00:00,1,15.00
89873,2019-01-14 00:00:00,2,30.00
89969,2019-01-14 00:00:00,3,45.00
90104,2019-01-14 00:00:00,2,30.00
90106,2019-01-14 00:00:00,10,150.00
90158,2019-01-14 00:00:00,5,75.00
90160,2019-01-14 00:00:00,2,30.00
90188,2019-01-14 00:00:00,9,135.00
90294,2019-01-14 00:00:00,5,165.00
90460,2019-01-14 00:00:00,4,60.00
90472,2019-01-14 00:00:00,1,15.00
90511,2019-01-14 00:00:00,2,30.00
90577,2019-01-14 00:00:00,9,135.00
90609,2019-01-14 00:00:00,1,15.00
90790,2019-01-14 00:00:00,4,60.00
90796,2019-01-14 00:00:00,52,780.00
90798,2019-01-14 00:00:00,5,75.00
90834,2019-01-14 00:00:00,4,60.00
91000,2019-01-14 00:00:00,1,15.00
91157,2019-01-14 00:00:00,4,60.00
91159,2019-01-14 00:00:00,2,30.00
91163,2019-01-14 00:00:00,3,45.00
91256,2019-01-14 00:00:00,4,60.00
91258,2019-01-14 00:00:00,2,30.00
91330,2019-01-14 00:00:00,1,15.00
91387,2019-01-14 00:00:00,9,135.00
91740,2019-01-14 00:00:00,2,30.00
91805,2019-01-14 00:00:00,6,90.00
91835,2019-01-14 00:00:00,4,60.00
92235,2019-01-14 00:00:00,6,90.00
92386,2019-01-14 00:00:00,4,60.00
92683,2019-01-14 00:00:00,2,30.00
2000145,2019-01-14 00:00:00,4,60.00
2000323,2019-01-14 00:00:00,6,105.00
2000361,2019-01-14 00:00:00,6,90.00
2000383,2019-01-14 00:00:00,51,765.00
2000393,2019-01-14 00:00:00,4,60.00
